FNFNUM,GENUS,SPECIES,TAXON
1,Abelmoschus,esculentus,Abelmoschus esculentus
2,Abelmoschus,manihot,Abelmoschus manihot
3,Abelmoschus,moschatus,Abelmoschus moschatus
4,Abies,alba,Abies alba
5,Abies,balsamea,Abies balsamea
6,Abies,sachalinensis,Abies sachalinensis
7,Abrus,precatorius,Abrus precatorius
8,Acacia,catechu,Acacia catechu
9,Acacia,decurrens,Acacia decurrens
10,Acacia,farnesiana,Acacia farnesiana
1439,Acacia,lenticularis,Acacia lenticularis
11,Acacia,leucophloea,Acacia leucophloea
12,Acacia,melanoxylon,Acacia melanoxylon
1440,Acacia,modesta,Acacia modesta
13,Acacia,nilotica,Acacia nilotica
14,Acacia,senegal,Acacia senegal
15,Acacia,tortilis,Acacia tortilis
16,Acalypha,indica,Acalypha indica
17,Acanthopanax,gracilistylis,Acanthopanax gracilistylis
1288,Acanthospermum,hispidum,Acanthospermum hispidum
1443,Acanthus,ilicifolius,Acanthus ilicifolius
18,Achillea,millefolium,Achillea millefolium
19,Achillea,moschata,Achillea moschata
20,Achyranthes,aspera,Achyranthes aspera
21,Achyranthes,bidentata,Achyranthes bidentata
1414,Acinos,alpinus,Acinos alpinus var. meridionalis
1973,Acinos,sp,Acinos sp
1981,Acinos,suaveolens,Acinos suaveolens
1441,Acinos,thymoides,Acinos thymoides
22,Acokanthera,schimperi,Acokanthera schimperi
23,Aconitum,carmichaelii,Aconitum carmichaelii
24,Aconitum,napellus,Aconitum napellus
25,Acorus,calamus,Acorus calamus
1269,Acrocomia,totai,Acrocomia totai
1442,Acrotrema,arnottianum,Acrotrema arnottianum
1159,Acrotrema,uniflorum,Acrotrema uniflorum
26,Actaea,pachypoda,Actaea pachypoda
27,Actaea,rubra,Actaea rubra
28,Actaea,spicata,Actaea spicata
29,Actinidia,chinensis,Actinidia chinensis
30,Actinidia,polygama,Actinidia polygama
1692,Adansonia,digitata,Adansonia digitata
1826,Adenocarpus,complicatus,Adenocarpus complicatus
1827,Adenocarpus,decorticans,Adenocarpus decorticans
1828,Adenocarpus,foliolosus,Adenocarpus foliolosus
31,Adiantum,capillus-veneris,Adiantum capillus-veneris
32,Adiantum,pedatum,Adiantum pedatum
33,Adonis,vernalis,Adonis vernalis
1212,Aegle,marmelos,Aegle marmelos
1974,Aeolanthus,myriantha,Aeolanthus myriantha
1444,Aerva,lanata,Aerva lanata
34,Aesculus,hippocastanum,Aesculus hippocastanum
35,Aethusa,cynapium,Aethusa cynapium
1975,Agastache,foeniculum,Agastache foeniculum
1976,Agastache,nepetoides,Agastache nepetoides
1977,Agastache,pallidiflora,Agastache pallidiflora
1978,Agastache,rugosa,Agastache rugosa
36,Agastache,urticifolia,Agastache urticifolia
