FNFNUM,CHEM,PPCO
1,"12,13-EPOXYOLEIC-ACID",SD
1,9-HEXADECENOIC-ACID,SD
1,ALANINE,FR
1,ALPHA-TOCOPHEROL,OL
1,ARGININE,FR
1,ASCORBIC-ACID,PL
1,ASH,FR
1,ASH,SD
1,ASPARTIC-ACID,FR
1,CALCIUM,FR
1,CALCIUM,SD
1,CARBOHYDRATES,FR
1,COPPER,FR
1,CYANIDIN-3-GLUCOSIDE-4'-GLUCOSIDE,FL
1,CYANIDIN-4'-GLUCOSIDE,FL
1,CYSTINE,FR
1,FAT,FR
1,FAT,SD
1,FIBER,FR
1,FIBER,SD
1,FOLACIN,FR
1,GAMMA-TOCOPHEROL,OL
1,GLUTAMIC-ACID,FR
1,GLYCINE,FR
1,GOSSYPETIN,FL
1,GOSSYPOL,SD
1,HISTIDINE,FR
1,IRON,FR
1,ISOLEUCINE,FR
1,KILOCALORIES,FR
1,LEUCINE,FR
1,LINOLEIC-ACID,SD
1,LYSINE,FR
1,MAGNESIUM,FR
1,MANGANESE,FR
1,METHIONINE,FR
1,MUFA,FR
1,MYRISTIC-ACID,SD
1,NIACIN,FR
1,OLEIC-ACID,SD
1,OXALIC-ACID,FR
1,PALMITIC-ACID,SD
1,PANTOTHENIC-ACID,FR
1,PECTIN,FR
1,PECTIN,SD
1,PENTOSANS,SD
1,PHENYALANINE,FR
1,PHOSPHORUS,FR
1,PHOSPHORUS,SD
1,PHYTOSTEROLS,FR
1,POTASSIUM,FR
1,POTASSIUM,SD
1,PROLINE,FR
1,PROTEIN,FR
1,PROTEIN,SD
1,PUFA,FR
1,QUERCETIN,FL
1,RIBOFLAVIN,FR
1,SERINE,FR
1,SFA,FR
1,SODIUM,FR
1,STARCH,SD
1,STEARIC-ACID,SD
1,SUGAR,SD
1,SULFUR,FR
1,THIAMIN,FR
1,THREONINE,FR
1,TRYPTOPHAN,FR
1,TYROSINE,FR
1,VALINE,FR
1,VIT-B-6,FR
1,WATER,FR
1,WATER,SD
1,ZINC,FR
2,ASH,LF
2,CALCIUM,LF
2,COPPER,LF
2,FAT,LF
2,GLYCOLIPIDS,PL
2,IRON,LF
2,MAGNESIUM,LF
2,MUCILAGE,RT
2,PHOSPHOLIPIDS,PL
2,PROTEIN,LF
2,WATER,LF
2,ZINC,LF
3,5-DODECENYL-ACETATE,SD
3,5-TETRADECEN-14-OLIDE,SD
3,5-TETRADECENYL-ACETATE,SD
3,ACETIC-ACID,PL
3,ALPHA-CEPHALIN,SD
3,AMBRETTOL,PL
3,AMBRETTOLIC-ACID,SD
3,AMBRETTOLIDE(=7-HEXADECEN-16-OLIDE),SD
3,DECYL-ACETATE,SD
3,DECYL-ALCOHOL,SD
3,EO,SD
3,FARNESOL,SD
3,FAT,SD
3,FIBER,SD
3,FURFURAL,SD
3,KAEMPFEROL,FL
3,KAEMPFEROL-3-0-GLUCOSIDE,FL
3,METHIONINE-SULFOXIDE,PL
3,MUCILAGE,RT
3,MYRICICETIN,FL
3,MYRICICETIN-3'-GLUCOSIDE,FL
3,MYRISTIC-ACID,PL
3,PALMITIC-ACID,PL
3,PHOSPHATIDYL-SERINE,SD
3,PHOSPHATIDYLCHOLINE-PLASMALOGEN,PL
3,PHOSPHATIDYLSERINE-PLASMALOGEN,PL
3,PINEOL,PL
3,PROTEIN,SD
3,QUERCETIN,FL
3,QUERCETIN-3'-GLUCOSIDE,FL
3,STARCH,SD
4,ABIETIC-ACID,RE
4,ABIETINOLIC-ACID,RE
4,ABIETOSPIRONE,PL
4,ALPHA-&-BETA-ABIETINOLIC-ACID,RE
4,ALPHA-FENCHENE,LF
4,ALPHA-PHELLANDRENE,LF
4,ALPHA-PINENE,PL
4,ALPHA-PINENE,RE
4,ALPHA-THUJENE,LF
4,BETA-FENCHENE,LF
4,BETA-PHELLANDRENE,PL
4,BETA-PINENE,LF
4,BETA-PINENE,RE
4,BORNYLENE,LF
